Kare_No,Islem_Suresi_ms,Anlik_FPS
425,58.00,17.24
426,56.43,17.72
427,56.86,17.59
428,83.00,12.05
429,69.67,14.35
430,73.51,13.60
431,63.88,15.65
432,68.70,14.56
433,71.32,14.02
434,80.23,12.46
435,79.77,12.54
436,68.35,14.63
437,62.90,15.90
438,67.30,14.86
439,64.26,15.56
440,57.95,17.26
441,68.22,14.66
442,57.78,17.31
443,62.46,16.01
444,62.23,16.07
445,66.03,15.14
446,68.63,14.57
447,65.12,15.36
448,68.60,14.58
449,66.80,14.97
450,69.16,14.46
451,58.64,17.05
452,62.18,16.08
453,63.36,15.78
454,68.66,14.57
455,62.06,16.11
456,64.51,15.50
457,69.69,14.35
458,70.50,14.18
459,70.04,14.28
460,69.83,14.32
461,69.86,14.31
462,69.77,14.33
463,69.33,14.42
464,69.39,14.41
465,71.24,14.04
466,65.98,15.16
467,70.22,14.24
468,69.06,14.48
469,69.93,14.30
470,71.03,14.08
471,70.58,14.17
472,70.59,14.17
473,68.92,14.51
474,70.70,14.14
475,69.58,14.37
476,71.36,14.01
477,69.65,14.36
478,69.03,14.49
479,71.49,13.99
480,66.69,14.99
481,69.77,14.33
482,70.13,14.26
483,68.64,14.57
484,71.38,14.01
485,68.81,14.53
486,71.61,13.96
487,67.76,14.76
488,69.44,14.40
489,69.93,14.30
490,69.83,14.32
491,70.26,14.23
492,69.32,14.43
493,70.36,14.21
494,70.75,14.13
495,69.62,14.36
496,67.26,14.87
497,68.51,14.60
498,70.75,14.13
499,95.33,10.49
500,101.95,9.81
501,67.69,14.77
502,71.18,14.05
503,67.98,14.71
504,69.61,14.37
505,68.69,14.56
506,69.22,14.45
507,67.81,14.75
508,70.24,14.24
509,69.54,14.38
510,69.85,14.32
511,69.35,14.42
512,69.89,14.31
513,70.02,14.28
514,69.60,14.37
515,68.67,14.56
516,69.89,14.31
517,70.68,14.15
518,70.17,14.25
519,69.92,14.30
520,69.19,14.45
521,69.33,14.42
522,69.15,14.46
523,68.96,14.50
524,69.09,14.47
525,71.31,14.02
526,68.57,14.58
527,69.00,14.49
528,70.34,14.22
529,67.86,14.74
530,69.10,14.47
531,70.21,14.24
532,72.03,13.88
533,69.09,14.47
534,68.22,14.66
535,69.74,14.34
536,69.08,14.48
537,70.17,14.25
538,69.50,14.39
539,71.47,13.99
540,67.03,14.92
541,72.19,13.85
542,68.82,14.53
543,70.60,14.17
544,68.97,14.50
545,71.81,13.93
546,68.02,14.70
---,---,---
ORTALAMA_FPS,,20.53
