Video,Model,Aktarim_Modu,Frame_ID,Decode_Zamani_ms,Stabil_FPS
12331098_1080_1920_25fps,V5_Standart,ZLIB,132,33.9,29.46
12331098_1080_1920_25fps,V5_Standart,ZLIB,133,33.77,29.52
12331098_1080_1920_25fps,V5_Standart,ZLIB,134,33.89,29.53
12331098_1080_1920_25fps,V5_Standart,ZLIB,135,33.84,29.52
12331098_1080_1920_25fps,V5_Standart,ZLIB,136,33.94,29.52
12331098_1080_1920_25fps,V5_Standart,ZLIB,137,33.87,29.52
12331098_1080_1920_25fps,V5_Standart,ZLIB,138,33.87,29.52
12331098_1080_1920_25fps,V5_Standart,ZLIB,139,33.86,29.52
12331098_1080_1920_25fps,V5_Standart,ZLIB,140,33.9,29.52
12331098_1080_1920_25fps,V5_Standart,ZLIB,141,33.84,29.52
12331098_1080_1920_25fps,V5_Standart,ZLIB,142,33.81,29.52
12331098_1080_1920_25fps,V5_Standart,ZLIB,143,33.85,29.52
12331098_1080_1920_25fps,V5_Standart,ZLIB,144,33.89,29.53
12331098_1080_1920_25fps,V5_Standart,ZLIB,145,33.85,29.52
12331098_1080_1920_25fps,V5_Standart,ZLIB,146,33.89,29.52
12331098_1080_1920_25fps,V5_Standart,ZLIB,147,33.89,29.52
12331098_1080_1920_25fps,V5_Standart,ZLIB,148,33.79,29.52
12331098_1080_1920_25fps,V5_Standart,ZLIB,149,34.02,29.52
12331098_1080_1920_25fps,V5_Standart,CODEC,0,35.82,27.92
12331098_1080_1920_25fps,V5_Standart,CODEC,1,44.54,24.89
12331098_1080_1920_25fps,V5_Standart,CODEC,2,35.38,25.92
12331098_1080_1920_25fps,V5_Standart,CODEC,3,35.16,26.51
12331098_1080_1920_25fps,V5_Standart,CODEC,4,34.39,26.98
12331098_1080_1920_25fps,V5_Standart,CODEC,5,34.62,27.28
12331098_1080_1920_25fps,V5_Standart,CODEC,6,35.66,27.39
12331098_1080_1920_25fps,V5_Standart,CODEC,7,35.38,27.5
12331098_1080_1920_25fps,V5_Standart,CODEC,8,34.12,27.69
12331098_1080_1920_25fps,V5_Standart,CODEC,9,34.43,27.82
12331098_1080_1920_25fps,V5_Standart,CODEC,10,33.87,27.96
12331098_1080_1920_25fps,V5_Standart,CODEC,11,33.88,28.09
12331098_1080_1920_25fps,V5_Standart,CODEC,12,33.82,28.2
12331098_1080_1920_25fps,V5_Standart,CODEC,13,34.24,28.27
12331098_1080_1920_25fps,V5_Standart,CODEC,14,33.74,28.35
12331098_1080_1920_25fps,V5_Standart,CODEC,15,33.88,28.42
12331098_1080_1920_25fps,V5_Standart,CODEC,16,45.52,27.94
12331098_1080_1920_25fps,V5_Standart,CODEC,17,42.95,27.63
12331098_1080_1920_25fps,V5_Standart,CODEC,18,33.89,27.73
12331098_1080_1920_25fps,V5_Standart,CODEC,19,33.86,27.81
12331098_1080_1920_25fps,V5_Standart,CODEC,20,33.75,27.89
