Resim,PSNR (dB),SSIM,L1_Loss,VGG_Loss,Sifirlanan_Alan (%),Raw_Uncompressed_Size (KB),Original_ZIPPED_KB,Model_ZIPPED_KB,Bilesik_Skor
0864.png,38.11,0.9915,0.0097,0.1102,0.06,8104.22,6031.62,5547.59,0.56448
0856.png,27.3,0.9061,0.031,1.8764,0.17,8104.22,6875.66,6067.34,0.63778
0871.png,30.95,0.9794,0.0194,0.3582,1.49,8104.22,5992.02,4567.73,0.47621
0819.png,25.63,0.9575,0.0328,0.7857,5.66,8104.22,7183.57,5290.4,0.56179
0837.png,29.28,0.9689,0.021,0.6414,2.23,8104.22,6437.37,5581.56,0.57917
0853.png,25.78,0.9255,0.0316,0.8356,0.72,8104.22,5898.25,4824.44,0.51406
0867.png,29.2,0.9603,0.0239,0.631,0.14,8104.22,6955.15,5469.15,0.57086
0893.png,35.88,0.9738,0.0124,0.2631,1.26,8104.22,6021.65,5817.41,0.59412
0898.png,23.54,0.9503,0.0574,0.5715,2.19,8104.22,5701.82,3857.14,0.44314
0885.png,29.26,0.9654,0.0261,0.61,0.87,8104.22,6994.13,6185.28,0.64459
0839.png,34.25,0.6851,0.0158,0.1667,0.56,8104.22,4488.36,3794.08,0.3952
0890.png,32.96,0.9772,0.0159,0.3475,1.23,8175.94,4859.51,4257.92,0.4417
0813.png,27.77,0.9365,0.0259,0.4408,6.16,8749.69,5694.05,5340.78,0.55996
0849.png,24.55,0.9517,0.042,1.3416,15.22,8104.22,7011.43,5694.84,0.61153
0836.png,26.18,0.9671,0.0385,0.5835,23.24,9180.0,6734.71,5307.9,0.56933
0808.png,23.82,0.942,0.0454,0.5511,2.58,8104.22,5637.83,4279.79,0.47337
0865.png,32.26,0.9822,0.0179,0.2268,2.4,9180.0,5959.24,5640.5,0.58192
0843.png,41.95,0.992,0.0048,0.0558,0.07,8104.22,1358.79,1191.71,0.124
0895.png,28.33,0.969,0.0242,1.2133,5.78,7673.91,7197.52,6122.1,0.63646
0870.png,23.55,0.94,0.0413,0.9266,0.34,9395.16,8716.43,6483.67,0.68969
