Kare,Tip,PSNR,Bandwidth
459,AI_SENTEZ,32.15,SAVED
460,AI_SENTEZ,30.61,SAVED
461,SUNUCU_KARE,inf,DOWNLOADED
462,AI_SENTEZ,38.03,SAVED
463,SUNUCU_KARE,inf,DOWNLOADED
464,AI_SENTEZ,37.37,SAVED
465,SUNUCU_KARE,inf,DOWNLOADED
466,AI_SENTEZ,37.30,SAVED
467,SUNUCU_KARE,inf,DOWNLOADED
468,AI_SENTEZ,35.26,SAVED
469,SUNUCU_KARE,inf,DOWNLOADED
470,SUNUCU_KARE,inf,DOWNLOADED
471,AI_SENTEZ,34.53,SAVED
472,AI_SENTEZ,31.90,SAVED
473,AI_SENTEZ,30.61,SAVED
474,SUNUCU_KARE,inf,DOWNLOADED
475,AI_SENTEZ,32.94,SAVED
476,AI_SENTEZ,31.40,SAVED
477,AI_SENTEZ,31.11,SAVED
478,SUNUCU_KARE,inf,DOWNLOADED
479,AI_SENTEZ,36.90,SAVED
480,SUNUCU_KARE,inf,DOWNLOADED
481,AI_SENTEZ,35.25,SAVED
482,SUNUCU_KARE,inf,DOWNLOADED
483,SUNUCU_KARE,inf,DOWNLOADED
484,SUNUCU_KARE,inf,DOWNLOADED
485,SUNUCU_KARE,inf,DOWNLOADED
486,SUNUCU_KARE,inf,DOWNLOADED
487,SUNUCU_KARE,inf,DOWNLOADED
488,SUNUCU_KARE,inf,DOWNLOADED
489,SUNUCU_KARE,inf,DOWNLOADED
490,SUNUCU_KARE,inf,DOWNLOADED
491,SUNUCU_KARE,inf,DOWNLOADED
492,SUNUCU_KARE,inf,DOWNLOADED
493,SUNUCU_KARE,inf,DOWNLOADED
494,SUNUCU_KARE,inf,DOWNLOADED
495,SUNUCU_KARE,inf,DOWNLOADED
496,SUNUCU_KARE,inf,DOWNLOADED
497,AI_SENTEZ,37.72,SAVED
498,SUNUCU_KARE,inf,DOWNLOADED
499,SUNUCU_KARE,inf,DOWNLOADED
500,SUNUCU_KARE,inf,DOWNLOADED
501,SUNUCU_KARE,inf,DOWNLOADED
502,SUNUCU_KARE,inf,DOWNLOADED
503,SUNUCU_KARE,inf,DOWNLOADED
504,SUNUCU_KARE,inf,DOWNLOADED
505,SUNUCU_KARE,inf,DOWNLOADED
506,SUNUCU_KARE,inf,DOWNLOADED
507,SUNUCU_KARE,inf,DOWNLOADED
508,SUNUCU_KARE,inf,DOWNLOADED
509,AI_SENTEZ,37.41,SAVED
510,SUNUCU_KARE,inf,DOWNLOADED
511,SUNUCU_KARE,inf,DOWNLOADED
512,SUNUCU_KARE,inf,DOWNLOADED
513,AI_SENTEZ,35.66,SAVED
514,SUNUCU_KARE,inf,DOWNLOADED
515,SUNUCU_KARE,inf,DOWNLOADED
516,SUNUCU_KARE,inf,DOWNLOADED
517,SUNUCU_KARE,inf,DOWNLOADED
518,SUNUCU_KARE,inf,DOWNLOADED
519,AI_SENTEZ,37.76,SAVED
520,SUNUCU_KARE,inf,DOWNLOADED
521,AI_SENTEZ,37.41,SAVED
522,SUNUCU_KARE,inf,DOWNLOADED
523,AI_SENTEZ,35.20,SAVED
524,SUNUCU_KARE,inf,DOWNLOADED
525,SUNUCU_KARE,inf,DOWNLOADED
526,SUNUCU_KARE,inf,DOWNLOADED
527,SUNUCU_KARE,inf,DOWNLOADED
528,SUNUCU_KARE,inf,DOWNLOADED
529,SUNUCU_KARE,inf,DOWNLOADED
530,SUNUCU_KARE,inf,DOWNLOADED
531,SUNUCU_KARE,inf,DOWNLOADED
532,SUNUCU_KARE,inf,DOWNLOADED
533,SUNUCU_KARE,inf,DOWNLOADED
534,SUNUCU_KARE,inf,DOWNLOADED
535,SUNUCU_KARE,inf,DOWNLOADED
536,SUNUCU_KARE,inf,DOWNLOADED
537,SUNUCU_KARE,inf,DOWNLOADED
538,SUNUCU_KARE,inf,DOWNLOADED
539,SUNUCU_KARE,inf,DOWNLOADED
540,SUNUCU_KARE,inf,DOWNLOADED
541,SUNUCU_KARE,inf,DOWNLOADED
542,SUNUCU_KARE,inf,DOWNLOADED
543,SUNUCU_KARE,inf,DOWNLOADED
544,SUNUCU_KARE,inf,DOWNLOADED
545,SUNUCU_KARE,inf,DOWNLOADED
