Timestamp,Gercek_FPS,Kuyruk_Dolulugu,Durum
10:11:3,23.98,49,OYNATILIYOR
10:11:3,22.49,48,OYNATILIYOR
10:11:3,23.76,47,OYNATILIYOR
10:11:3,23.31,46,OYNATILIYOR
10:11:3,23.82,45,OYNATILIYOR
10:11:3,24.59,44,OYNATILIYOR
10:11:3,23.63,43,OYNATILIYOR
10:11:3,23.70,42,OYNATILIYOR
10:11:3,24.04,41,OYNATILIYOR
10:11:3,22.40,40,OYNATILIYOR
10:11:3,23.65,39,OYNATILIYOR
10:11:3,24.12,38,OYNATILIYOR
10:11:3,23.45,37,OYNATILIYOR
10:11:3,24.01,36,OYNATILIYOR
10:11:3,23.95,35,OYNATILIYOR
10:11:3,23.39,34,OYNATILIYOR
10:11:3,24.02,33,OYNATILIYOR
10:11:3,23.52,32,OYNATILIYOR
10:11:3,23.44,31,OYNATILIYOR
10:11:3,23.11,30,OYNATILIYOR
10:11:3,23.41,29,OYNATILIYOR
10:11:3,23.86,28,OYNATILIYOR
10:11:3,23.39,27,OYNATILIYOR
10:11:3,23.85,26,OYNATILIYOR
10:11:3,23.75,25,OYNATILIYOR
10:11:3,23.61,24,OYNATILIYOR
10:11:3,23.62,23,OYNATILIYOR
10:11:3,23.44,22,OYNATILIYOR
10:11:3,23.79,21,OYNATILIYOR
10:11:3,24.07,20,OYNATILIYOR
10:11:3,23.42,19,OYNATILIYOR
10:11:3,23.51,18,OYNATILIYOR
10:11:3,23.79,17,OYNATILIYOR
10:11:3,23.72,16,OYNATILIYOR
10:11:3,24.35,15,OYNATILIYOR
10:11:3,22.71,14,OYNATILIYOR
10:11:3,23.39,13,OYNATILIYOR
10:11:3,23.69,12,OYNATILIYOR
10:11:3,23.95,11,OYNATILIYOR
10:11:3,23.58,10,OYNATILIYOR
10:11:3,23.47,9,OYNATILIYOR
10:11:3,24.15,8,OYNATILIYOR
10:11:3,23.98,7,OYNATILIYOR
10:11:3,24.55,6,OYNATILIYOR
10:11:3,23.89,5,OYNATILIYOR
10:11:3,23.87,4,OYNATILIYOR
10:11:3,23.15,3,OYNATILIYOR
10:11:3,23.39,2,OYNATILIYOR
10:11:3,23.57,1,OYNATILIYOR
10:11:3,23.66,0,OYNATILIYOR
